"Story","Title","Result","Date","Stability","Duration (s)"
"Search a product","Search a product","SUCCESS","2021-05-01T11:46:57.010783-05:00[America/Bogota]","0.0","10.32"
"Register user","Successful register","SUCCESS","2021-05-01T11:47:08.718266-05:00[America/Bogota]","0.0","21.33"
